team,No of players,90s played,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
RB Leipzig,27.66666667,34,70.66666667,502.3333333,188,37.56666667,14.77666667,5.53,0.13,0.34,16.9,20,7,8,66.73333333,60.9,0.126666667,3.933333333,2.766666667
Rayo Vallecano,28,38,38,500,133,26.6,13.16,3.5,0.07,0.26,18.5,27,4,4,42.8,39.7,0.08,-4.8,-5.7
Real Betis,27.66666667,38,52.66666667,470.6666667,159.6666667,33.9,12.38333333,4.203333333,0.1,0.29,18.56666667,19,6.666666667,8.333333333,51.2,44.83333333,0.1,1.466666667,1.166666667
Real Madrid,29,38,71,580.3333333,210.6666667,36.2,15.27333333,5.54,0.11,0.31,18.16666667,18.66666667,7.333333333,8.666666667,67.03333333,60.2,0.106666667,3.966666667,3.466666667
Real Sociedad,29.66666667,38,50.66666667,423.6666667,140.3333333,33.13333333,11.15,3.693333333,0.103333333,0.31,17.1,16.66666667,7.333333333,9,53.7,46.8,0.113333333,-3.033333333,-3.466666667
Reims,30,34.66666667,35.66666667,360,115.3333333,31.8,10.51666667,3.31,0.083333333,0.266666667,19.06666667,11.33333333,4.666666667,5.333333333,33.66666667,29.46666667,0.083333333,2,1.533333333
Rennes,28.66666667,34.66666667,56,464.6666667,153.6666667,32.9,13.28,4.383333333,0.11,0.336666667,17.8,24.33333333,3.333333333,4,49.23333333,46.13333333,0.1,6.766666667,6.533333333
Roma,30.33333333,38,66,586.3333333,191,32.7,15.43,5.026666667,0.1,0.3,17.46666667,23.33333333,8.666666667,10.33333333,67.86666667,59.96666667,0.106666667,-1.866666667,-2.633333333
SPAL,34,38,27,462,117,25.3,12.16,3.08,0.05,0.19,19.4,23,5,7,40.7,35.2,0.08,-13.7,-13.2
Saint Etienne,36.66666667,34.66666667,36.33333333,390,126,32.26666667,11.21666667,3.616666667,0.08,0.246666667,19.06666667,18.33333333,5.333333333,6.333333333,39.46666667,34.63333333,0.09,-3.133333333,-3.633333333
Salernitana,42,38,32,426,130,30.5,11.21,3.42,0.07,0.22,18.1,20,4,5,36.5,32.9,0.08,-4.5,-4.9
Sampdoria,30.66666667,38,47.33333333,452.3333333,137.6666667,30.56666667,11.90666667,3.626666667,0.093333333,0.31,18.33333333,17.33333333,5.333333333,7.333333333,44.1,38.43333333,0.09,3.233333333,3.566666667
Sassuolo,29.33333333,38,63.33333333,544,186.3333333,34.2,14.31333333,4.906666667,0.1,0.296666667,19.1,23.66666667,8.333333333,9,55.66666667,48.7,0.09,7.666666667,6.3
Schalke 04,35.5,34,29.5,342,102.5,29.65,10.055,3.015,0.085,0.285,18.45,10.5,1,2.5,33.25,31.25,0.095,-3.75,-2.75
Sevilla,28.33333333,38,52,456,146,31.96666667,12.00333333,3.843333333,0.103333333,0.323333333,16.96666667,14,5,5.666666667,50,45.6,0.1,2,1.4
Sheffield United,26.5,38,27.5,335.5,100.5,29.9,8.825,2.645,0.075,0.245,16.45,4.5,2,2.5,37.8,35.85,0.105,-10.3,-10.35
Southampton,26.33333333,38,46.33333333,463.3333333,163,35.3,12.19333333,4.29,0.093333333,0.263333333,18.03333333,23.66666667,3.666666667,5,47.36666667,43.43333333,0.096666667,-1.033333333,-0.766666667
Spezia,32.5,38,45,381.5,128.5,33.65,10.04,3.38,0.11,0.325,17.75,13.5,3.5,5,43.35,39.45,0.11,1.65,2.05
Strasbourg,25.66666667,34.33333333,45.66666667,404,128,31.73333333,11.78666667,3.743333333,0.096666667,0.303333333,17.93333333,13.33333333,6.333333333,8,47.53333333,41.3,0.106666667,-1.866666667,-1.966666667
Stuttgart,31.5,34,47,448.5,151.5,33.8,13.195,4.455,0.1,0.285,17.6,11,3.5,5.5,47.55,43.25,0.095,-0.55,0.25
Torino,29,38,45.33333333,455,143.3333333,31.53333333,11.97666667,3.773333333,0.086666667,0.276666667,17.73333333,25.66666667,6,6.666666667,47.83333333,42.93333333,0.096666667,-2.5,-3.6
Tottenham Hotspur,26,38,61.66666667,454.6666667,168.6666667,37.06666667,11.96666667,4.436666667,0.126666667,0.34,17.7,24,4.333333333,4.666666667,54.06666667,50.4,0.113333333,7.6,6.933333333
Toulouse,30,28,21,310,90,29,11.07,3.21,0.05,0.19,18.5,12,4,6,31.7,27.2,0.09,-10.7,-10.2
Troyes,35,38,35,379,120,31.7,9.97,3.16,0.08,0.24,18.7,9,6,7,39.2,33.8,0.09,-4.2,-4.8
Udinese,29,38,45,461.3333333,149,32.13333333,12.14,3.92,0.093333333,0.283333333,18.13333333,14.66666667,2.333333333,2.666666667,46.2,44.23333333,0.1,-1.2,-1.566666667
Union Berlin,27,34,46,398.6666667,137,34.33333333,11.72666667,4.026666667,0.106666667,0.3,17.16666667,7.333333333,4.666666667,5.666666667,45.1,40.73333333,0.106666667,0.9,0.6
Valencia,30.66666667,38,46,369.3333333,123,33.3,9.72,3.233333333,0.103333333,0.32,19,22.66666667,7,9,41.63333333,34.73333333,0.093333333,4.366666667,4.266666667
Valladolid,31,38,32.5,364,113,31,9.58,2.97,0.08,0.245,19.35,27,5,7,38.35,32.95,0.095,-5.85,-5.45
Venezia,39,38,34,349,113,32.4,9.18,2.97,0.09,0.27,18.2,22,3,5,36.5,32.4,0.09,-2.5,-1.4
Villarreal,27.66666667,38,60.33333333,441.3333333,156.6666667,35.6,11.61666667,4.123333333,0.116666667,0.33,16.83333333,12,9,10,61.4,53.86666667,0.126666667,-1.066666667,-2.533333333
Watford,28,38,34,406.5,117.5,28.95,10.7,3.095,0.075,0.255,17.7,21,4,5,44.45,40.5,0.1,-10.45,-10.5
Werder Bremen,28.5,34,37.5,387.5,126.5,32.7,11.395,3.72,0.085,0.265,18.85,12.5,4,5.5,36.15,31.85,0.085,1.35,1.65
West Bromwich Albion,30,38,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7
West Ham United,26,38,55.66666667,440,152,34.66666667,11.58,4.003333333,0.12,0.346666667,16.36666667,14.33333333,3.333333333,4.666666667,51.8,48.1,0.113333333,3.866666667,4.233333333
Wolfsburg,27.33333333,34,49,454,151.3333333,33.3,13.35333333,4.45,0.1,0.303333333,18,15,3,3.666666667,49.83333333,47.16666667,0.106666667,-0.833333333,-1.166666667
Wolverhampton Wanderers,24.66666667,38,39.33333333,439,141.3333333,32.26666667,11.55333333,3.72,0.083333333,0.26,18.16666667,14.66666667,3,3,42.7,40.4,0.093333333,-3.366666667,-4.066666667
